VCD info: dumpfile soc_sim.vcd opened for output.
[DBG cy=x] mem_valid=1 addr=0x00000000 instr=1 wstrb=0000 wdata=0xxxxxxxxx rdata=0x020002b7
[DBG cy=x] mem_valid=1 addr=0x00000004 instr=1 wstrb=0000 wdata=0xxxxxxxxx rdata=0x00200313
[DBG cy=x] mem_valid=1 addr=0x00000008 instr=1 wstrb=0000 wdata=0xxxxxxxxx rdata=0x0062a823
[DBG cy=x] mem_valid=1 addr=0x0000000c instr=1 wstrb=0000 wdata=0xxxxxxxxx rdata=0x00200313
[DBG cy=x] mem_valid=1 addr=0x02000010 instr=0 wstrb=1111 wdata=0x00000002 rdata=0x00000000
[DBG cy=x] mem_valid=1 addr=0x02000010 instr=0 wstrb=1111 wdata=0x00000002 rdata=0x00000000
[DBG cy=x] mem_valid=1 addr=0x02000010 instr=0 wstrb=1111 wdata=0x00000002 rdata=0x00000000
[DBG cy=x] mem_valid=1 addr=0x02000010 instr=0 wstrb=1111 wdata=0x00000002 rdata=0x00000000
[DBG cy=x] mem_valid=1 addr=0x00000010 instr=1 wstrb=0000 wdata=0x00000002 rdata=0x0062aa23
[DBG cy=x] mem_valid=1 addr=0x00000014 instr=1 wstrb=0000 wdata=0x00000002 rdata=0x00200313
[DBG cy=x] mem_valid=1 addr=0x02000014 instr=0 wstrb=1111 wdata=0x00000002 rdata=0x00000000
[DBG cy=x] mem_valid=1 addr=0x02000014 instr=0 wstrb=1111 wdata=0x00000002 rdata=0x00000000
[DBG cy=x] mem_valid=1 addr=0x02000014 instr=0 wstrb=1111 wdata=0x00000002 rdata=0x00000000
[DBG cy=x] mem_valid=1 addr=0x02000014 instr=0 wstrb=1111 wdata=0x00000002 rdata=0x00000000
[DBG cy=x] mem_valid=1 addr=0x00000018 instr=1 wstrb=0000 wdata=0x00000002 rdata=0x0062ac23
[DBG cy=x] mem_valid=1 addr=0x0000001c instr=1 wstrb=0000 wdata=0x00000002 rdata=0x00001337
[DBG cy=x] mem_valid=1 addr=0x02000018 instr=0 wstrb=1111 wdata=0x00000002 rdata=0x00000000
[DBG cy=x] mem_valid=1 addr=0x02000018 instr=0 wstrb=1111 wdata=0x00000002 rdata=0x00000000
[DBG cy=x] mem_valid=1 addr=0x02000018 instr=0 wstrb=1111 wdata=0x00000002 rdata=0x00000000
[DBG cy=x] mem_valid=1 addr=0x02000018 instr=0 wstrb=1111 wdata=0x00000002 rdata=0x00000000
[DBG cy=x] mem_valid=1 addr=0x00000020 instr=1 wstrb=0000 wdata=0x00000002 rdata=0x0262a023
[DBG cy=x] mem_valid=1 addr=0x00000024 instr=1 wstrb=0000 wdata=0x00000002 rdata=0x00001337
[DBG cy=x] mem_valid=1 addr=0x02000020 instr=0 wstrb=1111 wdata=0x00001000 rdata=0x00000000
[DBG cy=x] mem_valid=1 addr=0x02000020 instr=0 wstrb=1111 wdata=0x00001000 rdata=0x00000000
[DBG cy=x] mem_valid=1 addr=0x02000020 instr=0 wstrb=1111 wdata=0x00001000 rdata=0x00000000
[DBG cy=x] mem_valid=1 addr=0x02000020 instr=0 wstrb=1111 wdata=0x00001000 rdata=0x00000000
[DBG cy=x] mem_valid=1 addr=0x00000028 instr=1 wstrb=0000 wdata=0x00001000 rdata=0x01030313
[DBG cy=x] mem_valid=1 addr=0x0000002c instr=1 wstrb=0000 wdata=0x00001000 rdata=0x0262a223
[DBG cy=x] mem_valid=1 addr=0x00000030 instr=1 wstrb=0000 wdata=0x00001000 rdata=0x00001337
[DBG cy=x] mem_valid=1 addr=0x02000024 instr=0 wstrb=1111 wdata=0x00001010 rdata=0x00000000
[DBG cy=x] mem_valid=1 addr=0x02000024 instr=0 wstrb=1111 wdata=0x00001010 rdata=0x00000000
[DBG cy=x] mem_valid=1 addr=0x02000024 instr=0 wstrb=1111 wdata=0x00001010 rdata=0x00000000
[DBG cy=x] mem_valid=1 addr=0x02000024 instr=0 wstrb=1111 wdata=0x00001010 rdata=0x00000000
[DBG cy=x] mem_valid=1 addr=0x00000034 instr=1 wstrb=0000 wdata=0x00001010 rdata=0x02030313
[DBG cy=x] mem_valid=1 addr=0x00000038 instr=1 wstrb=0000 wdata=0x00001010 rdata=0x0262a423
[DBG cy=x] mem_valid=1 addr=0x0000003c instr=1 wstrb=0000 wdata=0x00001010 rdata=0x01100313
[DBG cy=x] mem_valid=1 addr=0x02000028 instr=0 wstrb=1111 wdata=0x00001020 rdata=0x00000000
[DBG cy=x] mem_valid=1 addr=0x02000028 instr=0 wstrb=1111 wdata=0x00001020 rdata=0x00000000
[DBG cy=x] mem_valid=1 addr=0x02000028 instr=0 wstrb=1111 wdata=0x00001020 rdata=0x00000000
[DBG cy=x] mem_valid=1 addr=0x02000028 instr=0 wstrb=1111 wdata=0x00001020 rdata=0x00000000
[DBG cy=x] mem_valid=1 addr=0x00000040 instr=1 wstrb=0000 wdata=0x00001020 rdata=0x0062a023
[DBG cy=x] mem_valid=1 addr=0x00000044 instr=1 wstrb=0000 wdata=0x00001020 rdata=0x0042a303
[DBG cy=x] mem_valid=1 addr=0x02000000 instr=0 wstrb=1111 wdata=0x00000011 rdata=0x00000000
[DBG cy=x] mem_valid=1 addr=0x02000000 instr=0 wstrb=1111 wdata=0x00000011 rdata=0x00000000
[DBG cy=x] mem_valid=1 addr=0x02000000 instr=0 wstrb=1111 wdata=0x00000011 rdata=0x00000000
[DBG cy=x] mem_valid=1 addr=0x02000000 instr=0 wstrb=1111 wdata=0x00000011 rdata=0x00000000
[DBG cy=x] mem_valid=1 addr=0x00000048 instr=1 wstrb=0000 wdata=0x00000011 rdata=0x00237313
[DBG cy=x] mem_valid=1 addr=0x02000004 instr=0 wstrb=0000 wdata=0x00000011 rdata=0x00000000
